fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,_count,_sum,_mean
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231024_230426585028_487,88.000000000000000,88.000000000000000,1.000000000000000
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231024_230512053271_484,79.000000000000000,78.000000000000000,0.987341772151899
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231024_230630032245_111,60.000000000000000,59.000000000000000,0.983333333333333
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231024_230800257570_116,110.000000000000000,108.000000000000000,0.981818181818182
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231024_231217369745_784,89.000000000000000,88.000000000000000,0.988764044943820
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231024_231306432340_172,77.000000000000000,77.000000000000000,1.000000000000000
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231024_231348920111_719,69.000000000000000,69.000000000000000,1.000000000000000
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231024_231424196636_190,81.000000000000000,81.000000000000000,1.000000000000000
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231024_232739294003_841,74.000000000000000,73.000000000000000,0.986486486486487
,"1",Bosque antiguo,"10",Bosque antiguo 10,20231024_233028890942_907,169.000000000000000,169.000000000000000,1.000000000000000
,"2",Suelo,"1",Suelo 1,20231024_233128553753_179,295.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"2",Suelo 2,20231024_233229023743_847,73.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"3",Suelo 3,20231024_233344870029_765,85.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"4",Suelo 4,20231024_233418886305_570,122.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"5",Suelo 5,20231024_233456990530_837,146.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"6",Suelo 6,20231024_233545906352_373,107.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"7",Suelo 7,20231024_233642270195_507,97.000000000000000,0.000000000000000,0.000000000000000
,"3",Otro,"1",Otro 1,20231024_234153901572_694,68.000000000000000,0.000000000000000,0.000000000000000
,"3",Otro,"2",Otro 2,20231024_234238392356_126,60.000000000000000,0.000000000000000,0.000000000000000
,"4",Bosque vivo,"1",Bosque vivo 1,20231024_234416309019_522,372.000000000000000,4.000000000000000,0.010752688172043
,"4",Bosque vivo,"2",Bosque vivo 2,20231024_234522520642_682,350.000000000000000,0.000000000000000,0.000000000000000
,"4",Bosque vivo,"3",Bosque vivo 3,20231024_234642197795_457,70.000000000000000,6.000000000000000,0.085714285714286
,"4",Bosque vivo,"4",Bosque vivo 4,20231024_234810957370_828,78.000000000000000,1.000000000000000,0.012820512820513
,"2",Suelo,"8",Suelo 8,20231024_234951530770_423,157.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"9",Suelo 9,20231024_235038438842_896,89.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"10",Suelo 10,20231024_235117364615_183,60.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"11",Suelo 11,20231025_001412110998_598,283.000000000000000,0.000000000000000,0.000000000000000
,"1",Bosque antiguo,"11",Bosque antiguo,20231025_001521574461_332,87.000000000000000,87.000000000000000,1.000000000000000
,"1",Bosque antiguo,"12",Bosque antiguo 12,20231025_002353023407_935,60.000000000000000,60.000000000000000,1.000000000000000
,"2",Suelo,"12",Suelo 12,20231025_002617731931_948,169.000000000000000,0.000000000000000,0.000000000000000
1,"1",Bosque antiguo,"1",Bosque antiguo 1,20231024_230426585028_487,88.000000000000000,88.000000000000000,1.000000000000000
2,"1",Bosque antiguo,"2",Bosque antiguo 2,20231024_230512053271_484,79.000000000000000,78.000000000000000,0.987341772151899
3,"1",Bosque antiguo,"3",Bosque antiguo 3,20231024_230630032245_111,60.000000000000000,59.000000000000000,0.983333333333333
4,"1",Bosque antiguo,"4",Bosque antiguo 4,20231024_230800257570_116,110.000000000000000,108.000000000000000,0.981818181818182
5,"1",Bosque antiguo,"5",Bosque antiguo 5,20231024_231217369745_784,89.000000000000000,88.000000000000000,0.988764044943820
6,"1",Bosque antiguo,"6",Bosque antiguo 6,20231024_231306432340_172,77.000000000000000,77.000000000000000,1.000000000000000
7,"1",Bosque antiguo,"7",Bosque antiguo 7,20231024_231348920111_719,69.000000000000000,69.000000000000000,1.000000000000000
8,"1",Bosque antiguo,"8",Bosque antiguo 8,20231024_231424196636_190,81.000000000000000,81.000000000000000,1.000000000000000
9,"1",Bosque antiguo,"9",Bosque antiguo 9,20231024_232739294003_841,74.000000000000000,73.000000000000000,0.986486486486487
10,"1",Bosque antiguo,"10",Bosque antiguo 10,20231024_233028890942_907,169.000000000000000,169.000000000000000,1.000000000000000
11,"2",Suelo,"1",Suelo 1,20231024_233128553753_179,295.000000000000000,0.000000000000000,0.000000000000000
12,"2",Suelo,"2",Suelo 2,20231024_233229023743_847,73.000000000000000,0.000000000000000,0.000000000000000
13,"2",Suelo,"3",Suelo 3,20231024_233344870029_765,85.000000000000000,0.000000000000000,0.000000000000000
14,"2",Suelo,"4",Suelo 4,20231024_233418886305_570,122.000000000000000,0.000000000000000,0.000000000000000
15,"2",Suelo,"5",Suelo 5,20231024_233456990530_837,146.000000000000000,0.000000000000000,0.000000000000000
16,"2",Suelo,"6",Suelo 6,20231024_233545906352_373,107.000000000000000,0.000000000000000,0.000000000000000
17,"2",Suelo,"7",Suelo 7,20231024_233642270195_507,97.000000000000000,0.000000000000000,0.000000000000000
18,"3",Otro,"1",Otro 1,20231024_234153901572_694,68.000000000000000,0.000000000000000,0.000000000000000
19,"3",Otro,"2",Otro 2,20231024_234238392356_126,60.000000000000000,0.000000000000000,0.000000000000000
20,"4",Bosque vivo,"1",Bosque vivo 1,20231024_234416309019_522,372.000000000000000,4.000000000000000,0.010752688172043
21,"4",Bosque vivo,"2",Bosque vivo 2,20231024_234522520642_682,350.000000000000000,0.000000000000000,0.000000000000000
22,"4",Bosque vivo,"3",Bosque vivo 3,20231024_234642197795_457,70.000000000000000,6.000000000000000,0.085714285714286
23,"4",Bosque vivo,"4",Bosque vivo 4,20231024_234810957370_828,78.000000000000000,1.000000000000000,0.012820512820513
24,"2",Suelo,"8",Suelo 8,20231024_234951530770_423,157.000000000000000,0.000000000000000,0.000000000000000
25,"2",Suelo,"9",Suelo 9,20231024_235038438842_896,89.000000000000000,0.000000000000000,0.000000000000000
26,"2",Suelo,"10",Suelo 10,20231024_235117364615_183,60.000000000000000,0.000000000000000,0.000000000000000
27,"2",Suelo,"11",Suelo 11,20231025_001412110998_598,283.000000000000000,0.000000000000000,0.000000000000000
28,"1",Bosque antiguo,"11",Bosque antiguo,20231025_001521574461_332,87.000000000000000,87.000000000000000,1.000000000000000
29,"1",Bosque antiguo,"12",Bosque antiguo 12,20231025_002353023407_935,60.000000000000000,60.000000000000000,1.000000000000000
30,"2",Suelo,"12",Suelo 12,20231025_002617731931_948,169.000000000000000,0.000000000000000,0.000000000000000
,"5",Carretera,"1",Carretera 1,20231025_112029898694_727,87.000000000000000,0.000000000000000,0.000000000000000
,"5",Carretera,"2",Carretera 2,20231025_112139978517_855,65.000000000000000,7.000000000000000,0.107692307692308
,"5",Carretera,"3",Carretera 3,20231025_112231620212_993,109.000000000000000,0.000000000000000,0.000000000000000
,"5",Carretera,"4",Carretera 4,20231025_113031119045_850,101.000000000000000,0.000000000000000,0.000000000000000
,"5",Carretera,"5",Carretera 5,20231025_113152634186_225,69.000000000000000,2.000000000000000,0.028985507246377
,"1",Bosque antiguo,"13",Bosque antiguo 13,20231025_150901851601_803,70.000000000000000,67.000000000000000,0.957142857142857
,"1",Bosque antiguo,"14",Bosque antiguo 14,20231025_150941065477_241,3.000000000000000,3.000000000000000,1.000000000000000
,"1",Bosque antiguo,"15",Bosque antiguo 15,20231025_151019943640_566,37.000000000000000,37.000000000000000,1.000000000000000
